href,politicalParty,nameGiven,nameFamily,nameFull,title,terms,address,phone,website,twitterHandle,nameMiddle
http://www.naag.org/naag/attorneys-general/whos-my-ag/delaware/matthew-denn.php,D,Matthew,Denn,Matthew Denn,Delaware,Elected: 2014,"Carvel State Office Bldg., 820 N. French St., Wilmington, DE 19801",(302) 577-8338,http://attorneygeneral.delaware.gov/,"Attorney General Matt Denn took office in January 2015, and has focused on the issue of reducing violent crime in Delaware. He proposed a plan for more police officers on patrol in Wilmington, legislation to crack down on young people caught with guns, and proposed using bank settlement funds for programs addressing crime along with the root cause issues of addiction, education, reentry and housing. He also established a new Office of Civil Rights and Public Trust.

A long-time advocate for Delaware’s children and a proponent of small businesses, Attorney General Denn helped improve Delaware’s public schools by leading efforts to improve recruitment of outstanding new school teachers, encourage more efficient spending of tax dollars by school districts, provide better services to schoolchildren with disabilities, and expand parental involvement in schools. During his time as Lieutenant Governor, Matt also led efforts to create one of the nation’s most comprehensive developmental screening programs for infants and toddlers, create a new health insurance program for children of low income working parents, and expand the number of families willing to care for children in foster care. He worked closely with the Governor on the Governor’s landmark early childhood education program, and was part of the Governor’s financial team, helping balance four state budgets during the worst recession in almost a century.

As the state's elected Insurance Commissioner from 2005 to 2009, Matt led the charge to pass laws restricting credit scoring and unfair cancellation of homeowners insurance, and fought to limit increases in Delawareans’ insurance rates. During his term, workers compensation insurance rates were cut by 45 percent, saving tens of millions of dollars for Delaware businesses. Additionally, Matt personally took on the cases of hundreds of Delawareans who were being treated unfairly by their insurance companies.

Attorney General Denn grew up in New Castle County, the son of Morton and Marilyn Denn, attending Yorklyn Elementary and H.B. du Pont Middle School before his family moved to California. He graduated from the University of California at Berkeley and Yale Law School. Attorney General Denn returned to Delaware after Yale and sought out Delaware Volunteer Legal Services for his first job, providing free legal advice and representation to people who couldn't afford it. In 1998, after he had entered private legal practice, Matt was asked by then-Governor Tom Carper to chair a commission charged with fixing state government's child protection system after a series of tragic child deaths.

Attorney General Denn and his wife Michele live near Newark with their 10-year-old twins Adam and Zach and their pug Lenny.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/district_of_columbia/karl-racine.php,D,Karl,Racine,Karl A. Racine,District of Columbia,Elected: 2014,"441 4th Street, NW, Suite 1100S, Washington, DC 20001",(202) 727-3400,http://oag.dc.gov/,"Attorney General Karl A. Racine brings over 25 years of experience as a practicing lawyer and good steward of leading law firms and organizations to the Office of the Attorney General.

As the attorney general’s mission is to use the law to serve the people of the District of Columbia, Attorney General Racine advises the Executive Branch and
other District agencies, defends the city in court, and protects the city’s
residents. He has pledged to prioritize consumer protection, enforce affordable
housing regulations, and find alternatives that can divert young people out of
the juvenile justice system.

His commitment to equal justice was inspired by his parents, who fled authoritarian
rule in Haiti, to start a new life in the United States and by the attorneys of
the civil rights movement who used the law to make positive social change.

Racine has deep and wide-ranging legal experience. He volunteered as a law student in a clinic supporting migrant farm worker’s rights; represented indigent
residents in the District of Columbia Public Defender Service; practiced
white-collar and commercial litigation with Cacheris & Treanor and Venable
LLP; served as associate White House counsel in the Clinton Administration; and
served on the District’s Judicial Nomination Commission. When Racine became managing partner at Venable LLP, where he managed over 600 attorneys, he became the
first African-American managing partner of a top-100 law firm. The National Law
Journal named Racine one of the 50 most influential minority lawyers in the
United States.

A lifelong District resident, Racine attended Murch Elementary School, Deal
Junior High, and Wilson High, and graduated from St. Johns College High School.
He also played basketball in youth sports leagues across the city. Racine is
deeply committed to the community, assembling what the Washington Post called
“a rich record of community service” and remains involved in a variety of
causes, including youth literacy and mentoring.

Racine earned his bachelor’s degree at the University of Pennsylvania and his law degree from the University of Virginia School of Law.",A.
http://www.naag.org/naag/attorneys-general/whos-my-ag/florida/pam-bondi.php,R,Pam,Bondi,Pam Bondi,Florida,"Elected: 2010, 2014","The Capitol, PL 01, Tallahassee, FL 32399-1050",(850) 414-3300,http://myfloridalegal.com/,"A native of Tampa, Pam Bondi became Florida's 37th attorney general after being elected on Nov. 2, 2010. Attorney General Bondi was sworn in to office Jan. 4, 2011.

Attorney General Bondi is focused on protecting Floridians and upholding Florida’s laws and the Constitution. Some of her top priorities are: defending Florida’s constitutional rights against the federal health care law; strengthening penalties against pill mills; aggressively investigating mortgage fraud and Medicaid fraud; and ensuring Florida is compensated for Gulf Horizon oil spill losses. Transparency and openness in government have been important throughout her career, and Attorney General Bondi continues to support Florida’s Sunshine laws.

Attorney General Bondi is dedicated to serving her community, including her membership on the Board of The Spring, Tampa’s domestic violence shelter. In her role as Attorney General, she serves on the Special Olympics Florida Board of Directors and is proud to promote their mission of assisting people with disabilities with being productive and respected members of our communities.

National Association of Drug Diversion Investigators recognized Attorney General Bondi with 2011 Leadership Award for her efforts to stop prescription drug abuse. In addition, Attorney General Bondi was awarded a special recognition by the Florida Police Chiefs Association for ""efforts to reduce prescription drug abuse and strengthen Florida’s Prescription Drug Monitoring Program through additional legislation via the 'pill mill' bill.""

Attorney General Bondi was awarded the Distinguished Alumna Award in 2011 by Stetson Law School for extraordinary service to Stetson Law and to the legal profession. During her career as a prosecutor, Attorney General Bondi was awarded the Lawyers of Distinction Award by the Tampa Bay review for outstanding performance.

Attorney General Bondi is a graduate of University of Florida and Stetson Law School and has served as a front-line prosecutor for more than 18 years. As an assistant state attorney for the 13th judicial district, her investigative and courtroom experience includes the successful prosecution of numerous first-degree murder cases and two capital cases.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/georgia/sam-olens.php,R,Sam,Olens,Sam Olens,Georgia,"Elected: 2010, 2014","40 Capitol Square, SW, Atlanta, GA 30334-1300",(404) 656-3300,http://law.ga.gov/,"Sam Olens was sworn in as Georgia’s 53rd attorney general on Jan. 10, 2011.

Olens was chairman of the Cobb County Board of Commissioners from August 2002 through March 2010. Previously, he served as Cobb County District 3 commissioner from 1999 through June 2002.

From December 2004 through 2009, Olens was chairman of the Atlanta Regional Commission. He was also vice-chairman of the Metropolitan North Georgia Water Planning District from 2005 through March 2010. Olens was appointed by Governor Sonny Perdue to represent the 6th Congressional District on Georgia’s Department of Community Affairs Board in 2003 and served through 2010.

Olens also serves on the boards of various non-profit organizations.

Sam Olens is the recipient of numerous awards and honors, including the 2008 Tom Bradley Leadership Award by the National Association of Regional Councils and the 2007 “Excellence in Public Service Award” by the University of Georgia’s Carl Vinson Institute. For the past nine years, Georgia Trend magazine has listed Olens as one of the “100 Most Influential Georgians.” In 2011, the Cobb Chamber of Commerce honored Olens for his dedication to community and philanthropic service by naming their annual community service award the “Sam Olens Business Community Service Award.” In 2013, Olens was named “Georgian of the Year” by James Magazine.

Other honors include the 2011 “Living the Dream” Award by the Cobb County NAACP, 2010 Trumpet Award from the Cobb County Women’s Republican Club, the 2009 James L. Rhoden, Jr. Award for Visionary Philanthropy, the 2009 United Way in Cobb County Volunteer of the Year, and Cobb’s “Citizen of the Year” by the Marietta Daily Journal in 2006.

Olens graduated from the Emory University School of Law in 1983 and was a member of Ezor & Olens, P.C. from 1983 through 2010. He is a registered mediator/arbitrator with the Georgia Office of Dispute Resolution. He has been admitted to practice law in Georgia and D.C.

Olens and his wife Lisa have two children, Lauren and Jonathan.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/guam/elizabeth-barrett-anderson.php,,Elizabeth,Barrett-Anderson,Elizabeth Barrett-Anderson,Guam ,Elected: 2014,"Office of the Attorney General, ITC Building, 590 S. Marine Corps Dr, Ste. 706, Tamuning, Guam 96913",,http://www.guamag.org/,"Elizabeth Barrett-Anderson graduated from the Academy of Our Lady of Guam in 1971. She received a professional & technical scholarship to attend college at Chaminade College in Hawaii, from 1971 to 1973, and further at the University of San Francisco where she graduated with a BA degree in political science in 1974. She continued her graduate education under the government of Guam's scholarship program at the University of Santa Clara School of Law where she obtained her Juris Doctorate degree in 1979.

Upon returning to the Territory she interned with the Superior Court of Guam as law clerk for Judge Richard Benson, Judge Ramon Diaz, and Presiding Judge Paul Abbate. She was admitted to the practice of law in the Territory of Guam on Jan. 5, 1980. In 1981 she was hired as assistant legal counsel for the Department of Education, and from August 1981 through December 1984, she served as legal counsel. She entered private practice in 1984 with the law firm of Arriola & Cowan as associate counsel concentrating her practice in the areas of land, probate, government, and juvenile law.

In 1987, Gov. Joseph F. Ada nominated Attorney Barrett-Anderson to the post of Guam attorney general. She was confirmed on July 23, 1987 as Guam's first female attorney general. During her tenure Attorney General Barrett-Anderson established the Family Division to strengthen the Territory's Child Support Enforcement program, direct attention to the needs of abused children, and to address a growing juvenile problem. She was also instrumental in the enactment of the Consumer Protection Law in 1992, and the modernization of Guam's Notary Public statute in 1993. She was elected by Gov. Ada as Director of the Year in 1991 in recognition of her innovative ideas and strengthening of the prosecutorial and civil divisions of the Attorney General's Office. She was also awarded the 1994 Achievement Award by the National Association of Notary Public for her modernization of Guam's Notary Laws.

She left her post as attorney general in July 1994 to run for elective office. Then Senator Barrett-Anderson successfully ran for a second term in the 24th Guam Legislature and served as chairperson on the Committee on Judiciary, Public Safety and Consumer Protection. On Nov. 7, 1997 she was nominated by Gov. Carl T.C. Gutierrez to become a Superior Court of Guam judge. She was confirmed by her colleagues of the 25th Guam Legislature, and sworn-in on April 14, 1998 as the seventh judge on the Superior Court bench. Judge Barrett-Anderson was assigned to the Family Court.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/hawaii/douglas-s.-chin.php,D,Douglas,Chin,Douglas S. Chin,Hawaii,Appointed: 2015,"425 Queen St., Honolulu, HI 96813",(808) 586-1500,http://ag.hawaii.gov/,"From 2010 to 2013, under Honolulu mayor Peter B. Carlisle, Chin served as managing director for the city and county of Honolulu, serving a population of over 950,000 residents on the island of Oahu.  Chin was directly responsible for 23 municipal government and public safety agencies and approximately 10,000 employees with an annual operating budget of $2 billion.  In 2011, Chin oversaw city operations when Honolulu became the first U.S. city to host the Asia Pacific Economic Cooperation (APEC) summit since 1992, an event attended by the leaders from 22 economies, including the United States, China, Russia and Japan.  Chin also negotiated tough matters ranging from public employee contracts to energy sustainability initiatives.

From 2013 to 2015, Chin was a law partner and eventual managing partner at Carlsmith Ball, one of the oldest and largest law firms in the state of Hawaiʻi.  His areas of practice included renewable energy and clean technology projects, land use and development projects and commercial litigation.

Hawaiʻi Governor David Y. Ige appointed Chin to become the state's Attorney General in January 2015.  He was unanimously confirmed by the state senate on March 15, 2015.

Outside of work, Chin has served on the board of the local YMCA and American Youth Soccer Organization (AYSO).  He was awarded Honolulu AYSO's ""Volunteer of the Year"" Award for two consecutive years.  Chin has also been a board member for the American Judicature Society since 2007, during which he has served on several task forces related to courts systems and justice.",S.
http://www.naag.org/naag/attorneys-general/whos-my-ag/idaho/lawrence-wasden.php,R,Lawrence,Wasden,Lawrence Wasden,Idaho,"Elected: 2002, 2006, 2010, 2014","Statehouse, Boise, ID 83720-1000",(208) 334-2400,http://www.ag.idaho.gov/,"Lawrence Wasden is Idaho’s 32nd attorney general. He was elected to his fourth term on Nov. 4, 2014, and is the longest serving attorney general in the state’s history.

Attorney General Wasden, a 24-year veteran of the Office of the Attorney General, previously served as chief of staff to the attorney general, deputy chief of staff and as a deputy attorney general representing the Idaho State Tax Commission.

He also served as a deputy prosecuting attorney in Canyon County, Idaho, and as prosecuting attorney for Owyhee County, Idaho.

Attorney General Wasden is currently vice chair/secretary of the National Association of Attorneys General (NAAG) Mission Foundation. He is a past president of NAAG, past-chair of the Conference of Western Attorneys General (CWAG), and past-treasurer and chair of the Investment Committee for the NAAG Mission Foundation.

In 2007, he was selected by the Aspen Institute for a fellowship program honoring public leaders as “the true rising stars” of American politics. Also in 2007, he received “The People First!” Award from the Idaho Newspaper Foundation for his work with Idahoans for Openness in Government, educating local government officials, the media and the public regarding Idaho’s Open Meeting Law and Public Records Law. He was honored by Idaho State University’s Political Science Honor Society, Pi Alpha Sigma, as “Statesman of the Year” in April of 2008. In June of 2009, he was presented the Idaho Council on Domestic Violence and Victim Assistance Leadership Award for his continued support of victims’ rights and efforts to reduce domestic violence. NAAG awarded Attorney General Wasden with their association’s highest honor -- the Kelley-Wyman Award -- given to the attorney general who has done the most to achieve the objectives of the association. In July of 2010, CWAG honored Attorney General Lawrence Wasden with their Courage in Public Service Award. This award was created to recognize an attorney general who has acted with courage and integrity to uphold their office. In recognition of Attorney General Wasden’s advocacy for Idaho’s children and families, Idaho Voices for Children named him the “2011 Children’s Champion.” His efforts to protect Idaho children from sexual abuse by creating the Idaho Internet Crimes Against Children Task Force and the ProtecTeens Internet Safety Program, along with his assistance to domestic violence victims through creation of the Idaho Hope Card program were recognized by the Idaho Sex Offender Watch Task Force with the 2013 Frank Steunenberg Award for Outstanding Leadership.

He served as co-chair of the NAAG Tobacco Committee from July 2004 through June of 2006. He was elected chairman of the American Legacy Foundation in May 2011. The landmark national tobacco settlement created the American Legacy Foundation to reduce youth tobacco smoking and prevent smoking-related disease in the United States.

Attorney General Wasden obtained his Juris Doctor from the University of Idaho and was admitted to the Idaho State Bar in 1985. He earned a Bachelor of Arts in political science from Brigham Young University in 1982.

Attorney General Wasden is a founding member, and past chairman, of the Government and Public Lawyers Section of the Idaho State Bar. In January 2010, he began a three-year term on the University of Idaho College of Law Advisory Council.

Lawrence and Tracey Wasden were married in 1980. They live in Nampa, Idaho, and are proud parents of four children: son Sean and daughter-in-law Chelsie; daughter Ashley and son-in-law Curtis Crafton; daughter Cassidy and son-in-law Nickolas Hicks; and, son Blake and daughter-in-law Camille. Lawrence and Tracey are also proud grandparents of Carter, Cai, Marshall and Macy Crafton, and Taylor and Stilson Wasden.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/illinois/lisa-madigan.php,D,Lisa,Madigan,Lisa Madigan,Illinois,"Elected: 2002, 2006, 2010, 2014","James R. Thompson Ctr., 100 W. Randolph St., Chicago, IL 60601",(312) 814-3000,http://illinoisattorneygeneral.gov/,"Lisa Madigan was elected to a fourth term as Illinois attorney general in November 2014. She is the senior most female attorney general in the country and the longest serving attorney general in Illinois history.

Recognized for her leadership and integrity, Lisa Madigan has brought a high level of activism to the Office of Attorney General. From her first days in office, she has demonstrated principled leadership, putting policy before politics and focusing her work as the state’s top legal advocate on protecting the people and communities of Illinois. Under Madigan’s direction, her office has collected over $11 billion for the state.

Madigan’s Consumer Protection Division has established a national reputation for aggressively safeguarding consumers from financial fraud and discriminatory lending in mortgage, student, and payday lending. Attorney General Madigan was a lead negotiator in the $25 billion National Mortgage Settlement with the nation’s largest banks, and stemming from those efforts, Madigan delivered over $2.85 billion in relief for Illinois homeowners, communities, and pension funds.

The attorney general’s efforts to protect women, children and seniors has also garnered national attention. She has advocated for stronger laws to protect women and children from sexual violence, and she ushered a bill through the Illinois legislature that made the state the first in the country to mandate testing sexual assault evidence kits. The attorney general also leads a statewide task force to investigate online child exploitation, and she has championed tougher sanctions against sexual predators. Madigan also has increased protections for nursing home residents, including a bill that allows cameras and monitoring devices in residents’ rooms.

Madigan created the first-ever Public Access Counselor and strengthened the state’s sunshine laws, and in her continued efforts to crack down on public corruption and government misconduct, Madigan created a Public Integrity Unit to investigate fraud, waste and abuse.

Attorney General Madigan has successfully argued before the U.S. Supreme Court. She regularly testifies before Congress on mortgage and student lending, data breaches and data security, the national rape kit testing backlog, and consumer issues including, telephone bill cramming, unsafe children’s products, and natural gas pricing. The U.S. State Department appointed her to serve on the U.S. delegation before the United Nations Human Rights Council for the Universal Periodic Review to discuss state-level human rights issues.

Before her election as attorney general, Madigan served in the Illinois Senate and worked as a litigator for a Chicago law firm. Prior to becoming an attorney, she worked as a teacher and community advocate, developing after-school programs to help kids stay away from drugs and gangs. Madigan also volunteered as a high school teacher in South Africa during apartheid.

Madigan earned her bachelor’s degree from Georgetown University and her Juris Doctorate from Loyola University Chicago School of Law. She and her husband, Pat Byrnes, have two daughters.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/indiana/greg-zoeller.php,R,Greg,Zoeller,Greg Zoeller,Indiana,"Elected: 2008, 2012, 2014","Indiana Government Center South - 5th Floor, 302 West Washington Street, Indianapolis, IN 46204",(317) 232-6201,http://www.in.gov/attorneygeneral/,"Greg Zoeller was elected Indiana's 42nd attorney general November 2008 and sworn into office Jan. 12, 2009. Zoeller was reelected to a second term in November 2012 and sworn into office Jan. 14, 2013. Prior to being elected attorney general, Zoeller served as the chief deputy to his predecessor, Steve Carter, making him the first to have served in the office prior to being elected.

A commitment to service marks the career of Attorney General Zoeller and is also the mark he is making on the Office of the Attorney General. With a focus on consumer protection, Zoeller has expanded the Do Not Call statute to include wireless telephones, increased protections for teachers in returning discipline to the classroom and fought for homeowners facing foreclosures. Battling scam artists with proactive investigations and aggressively seeking to shut down fraudulent businesses preying on Hoosiers has made Indiana known as a state for consumer predators to avoid.

As co-chair of the Tobacco Committee and the NAGTRI Training Committee for the National Association of Attorneys General, Zoeller serves in a national leadership position. He also serves on the U.S. Department of Justice Executive Working Group to develop greater collaboration and coordination of state and federal criminal justice agencies. Zoeller is a member of Indiana’s Criminal Justice Institute helping law enforcement agencies with a focus on victim’s rights.

An advocate for the most vulnerable in society, Zoeller developed a partnership with members of the legal profession in the March Against Hunger, an annual campaign to support Indiana's food banks. During his first year in office, Zoeller established an outreach program bringing the services of the attorney general to communities throughout the state with a focus on serving the elderly, those facing foreclosure and other financial crisis, recent immigrants and our youth who are targeted by scam artists and other predators.

Zoeller had previously served as assistant to Vice President Dan Quayle in the White House from 1989-1991 and earlier served then-Senator Quayle in both Washington and Indiana in legislative and executive capacities since 1982. His other government experience includes serving as special assistant to the U.S. Attorney General Richard Thornburg in 1988 and as senior counsel to the House of Representatives Committee on Government Reform and Oversight in 1998.

Zoeller served on a U.S. delegation to NATO in Brussels, Belgium as the vice president of the Indiana Council of World Affairs in 1992 and led Airlift Indiana, a private relief mission, to Bangladesh and another relief mission to Honduras following natural disasters in those countries.

A native of New Albany, Ind., Zoeller graduated from Indiana University School of Law at Bloomington in 1982. He is married to Kerrie (Turner) and has three children, Gretchen, Katherine, and Michael. They are members of Christ the King Catholic Church.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/iowa/tom-miller.php,D,Tom,Miller,Tom Miller,Iowa,"Elected: 1978, 1982, 1986, 1994, 1998, 2002, 2006, 2010, 2014","Hoover State Office Bldg., 1305 E. Walnut, Des Moines, IA 50319",(515) 281-5164,http://www.iowaattorneygeneral.gov,"Tom Miller is serving in his ninth four-year term as attorney general of Iowa.

He was born Aug. 11, 1944, in Dubuque, Iowa, the son of the late Elmer and Betty Miller. Tom grew up in Dubuque, where his father was the longtime county assessor and an inspiration for Tom's early interest in public service. Tom graduated from Wahlert High School in 1962 and Loras College in 1966, and he received his law degree from Harvard Law School in 1969.

After law school, Tom served as a VISTA volunteer in Baltimore, Md.,for two years, and then as legislative assistant to U.S. Representative John C. Culver (D-IA.) He returned to the Baltimore Legal Aid Bureau as legal education director, and he also taught part-time at the Maryland School of Law. In 1973, Tom returned to live in Iowa. He opened a law practice in McGregor in northeast Iowa and served as city attorney of McGregor and Marquette, Iowa. He ran for attorney general in 1974.

Tom has served as attorney general of Iowa since he was first elected in 1978, except for four years when he was in private practice as a partner at the Des Moines office of the Faegre & Benson Law Firm (1991-94.)

Attorney General Tom Miller has earned a reputation for integrity, high quality legal work, and strong work on behalf of ordinary Iowans. He has a long record of achieving results through cooperation with other state attorneys general and with local, state and federal officials, regardless of their political affiliation. He has served as president of the National Association of Attorneys General (NAAG) and received NAAG's Wyman Award as the attorney general who contributed most to NAAG and its members. He has chaired several NAAG committees and led major multi-state working groups working on tobacco issues, antitrust enforcement, agriculture, and consumer protection.

Tom is well known for his work to prevent crime and assist crime victims, to protect consumers, and to be an advocate for farmers:

Fighting crime has always been one of his top priorities. The Attorney General's Office continues its strong record handling many of the state's most important and difficult criminal prosecutions and arguing all of the state's criminal appeals before the Iowa Supreme Court and Court of Appeals. Tom and his office also have focused on fighting juvenile crime and working for improvements in the juvenile justice system. The office also provides extensive assistance to victims of crime, including crime victim compensation and support for local programs that aid victims.

Protecting consumers is one of Tom Miller's highest priorities. His office pioneered the undercover telephone 'sting' that sharply reduced telemarketing crime that cheated older Iowans and people all over the nation. He tackled the issue of questionable sweepstakes that prey on senior citizens, and his office has helped tens of thousands of Iowans with problems ranging from automobile complaints to telemarketing abuse and charity fraud. His office also has organized projects to protect small businesses from consumer fraud.

Working for farmers has always been a mission for Attorney General Miller, who established the nation's first Farm Division in an attorney general's office when he took office in 1978. The Farm Division has led the way in successful cases against agricultural chemical companies, helped hundreds of farmers get a fair shake from a huge pipeline project cutting across their farmland, led a group of states insisting on compensation to farmers and elevators who suffer losses resulting from StarLink genetically modified corn, and pushed for laws to protect farmers who enter contracts with large agribusinesses.

And Tom Miller is fighting for kids and taxpayers as he continues the campaign to reduce the enormous death toll and financial costs of tobacco addiction and disease. He was a leader in the multi-state settlement agreement that resulted in the tobacco industry paying billions of dollars to the states and changing the way it conducts business. Now Miller is working to reduce youth addiction and the death count of five thousand Iowans who die every year from tobacco-related disease.

""I consider it my duty and my privilege to be the people's lawyer,"" Miller says. ""I am deeply grateful for being able to serve as attorney general of Iowa.""",
http://www.naag.org/naag/attorneys-general/whos-my-ag/kansas/derek-schmidt.php,R,Derek,Schmidt,Derek Schmidt,Kansas,"Elected: 2010, 2014","120 S.W. 10th Ave., 2nd Fl., Topeka, KS 66612-1597",(785) 296-2215,https://www.ag.ks.gov/,"Derek Schmidt was elected the 44th attorney general of Kansas and took office January 10, 2011. As attorney general, he has made priorities providing quality legal services for the State of Kansas and standing up for public safety, economic growth and personal liberty.

Before being elected attorney general, Schmidt served 10 years as a Kansas State Senator representing the 15th district in Southeast Kansas.

The last six years, he served as majority leader for the Senate Republican Caucus. During his service in the Senate, Schmidt served as chairman of the Agriculture Committee, the Confirmations Oversight Committee, the Legislative Post Audit Committee, and the Special Committee on Medicaid Reform. He served as vice chairman of the Judiciary Committee, the Assessment and Taxation Committee and the Committee on Organization Calendar and Rules. He also worked in the private practice of law with the Independence firm Scovel Emert Heasty & Chubb.

Before being elected to the Senate, Schmidt served as special counsel and legislative liaison to Governor Bill Graves. Prior to that he served as an assistant Kansas attorney general for consumer protection, as legislative assistant to Senate Nancy Landon Kassebaum, and as legislative director and general counsel to U.S. Senator Chuck Hagel.

Schmidt is a graduate of Independence High School and studied at Independence Community College. He earned his bachelor's degree in journalism from the University of Kansas, his master's degree in international politics from the University of Leicester in the United Kingdom, and his law degree from Georgetown University Law Center.

Schmidt is a Rodel Fellow in Public Leadership with the Aspen Institute.

In 2006, he was the first Simons Public Humanities Fellow at the University of Kansas. He has been a Henry Toll fellow with the Council of State Governments and is a graduate of the Bowhay Institute for Legislative Leadership Development and of Leadership Kansas. He was honored with the Friend of Law Enforcement Award from the Kansas Sheriff's Association for his work to enact the Sheriff Matt Samuels Chemical Control Act. His work to improve the business climate in Kansas was recognized with the Guardian of Small Business Award from the Kansas chapter of the National Federation of Independent Business.

Schmidt and his wife, Jennifer, are the parents of two young daughters.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/kentucky/andy-beshear.php,D,Andy,Beshear,Andy Beshear,Kentucky,Elected: 2015,"700 Capitol Avenue, Capitol Building, Suite 118, Frankfort, KY 40601",,http://ag.ky.gov/,"As Kentucky's 50th attorney general, Andy Beshear is committed to strengthening the quality of life for families and communities across the Commonwealth. Under his stewardship, the Office of the Attorney General has a specific mission of preventing and prosecuting child abuse, protecting our seniors from scams and abuse, better addressing Kentucky’s drug epidemic and seeking justice for victims of rape.

As the “people’s lawyer,” the attorney general represents the citizens of Kentucky in roles that range from ensuring violent criminals stay behind bars to making sure Kentuckian’s utility bills are fair. As the state’s chief legal authority, the Office of the Attorney General plays an important role in protecting the state’s most vulnerable citizens. By partnering with local, state and federal leaders, Attorney General Beshear and his dedicated and experienced staff are working tirelessly to protect all Kentuckians from crime, abuse, scams, price gouging, corruption and other threats.

Andy spent more than a decade in private practice where he was recognized as the nation’s top consumer lawyer by Lawyer Monthly; as one of the “Best Lawyers in America;” and as a Rising Star by the publication SuperLawyers and Benchmark Litigation. Attorney General Beshear has spent over a decade trying some of the biggest and most complex cases, and managing large teams of lawyers to successful rulings.

He has won multi-million-dollar jury verdicts for clients, including an $11.4 million verdict in Bullitt County, the largest decision ever rendered there. Attorney General Beshear also tailored his practice to represent nonprofit youth organizations. In that role, he helped implement background checks and other protection procedures to keep Kentucky kids safe.

Andy and his wife Britainy have two small children, Will and Lila. The family attends church at Beargrass Christian, a Disciples of Christ church, where both Attorney General Beshear and Britainy are deacons. Britainy serves on the board at Maryhurst and the entire family volunteers with Family Scholar House.",
http://www.naag.org/naag/attorneys-general/whos-my-ag/louisiana/jeff-landry.php,R,Jeff,Landry,Jeff Landry,Louisiana,Elected: 2015,"P.O. Box 94095, Baton Rouge, LA 70804-4095",225-326-6000,http://www.ag.state.la.us/,"Jeff Landry is the attorney general of Louisiana and is dedicated to protecting its freedoms, families, and the rule of law.

One of four children raised in a middle class, St. Martinville family - Jeff Landry grew up through Louisiana’s oil bust - teaching him personally the effects that a bad economy can have on a family, particularly in a small town.

Jeff watched his school teacher mother and architect father work hard and sacrifice even more to ensure their children had the best education possible. Greatly respecting these sacrifices, Jeff joined the Louisiana National Guard while still in high school. Understanding that hard work and determination will prevail over any bad situation - he awoke early each day to work in Louisiana’s sugar cane fields, as his first job out of high school.

Jeff worked his way through college as a police officer and a sheriff’s deputy. He experienced the necessity of protecting our communities and ensuring the law is faithfully executed by our elected officials, the Attorney General’s Office, and the courts. As a veteran, he faithfully upheld the oath to protect our civil liberties while keeping our communities safe.

Jeff served as an aide in the Louisiana State Senate, where he learned firsthand that many solutions to our problems can be found from listening to the voices of the people not just from listening to the debate of politicians.

As a young entrepreneur, Jeff and a friend started an oil and gas environmental service company. Recognized for his success in business, Jeff was selected to serve as the executive director of the St. Martin Parish Economic Development Authority. As director, he was instrumental in recruiting a Fortune 500 company to the Parish. By leveraging local resources, he helped to create thousands of jobs and to spur the ever-increasing, pro-job growth economic energy corridor on Louisiana’s Hwy 90.

Understanding the importance of a quality education, Jeff at a later age went back to school - Law School, starting part-time at Southern University then finishing his law degree at Loyola University.

Upon earning his Juris Doctorate, Jeff returned to Acadiana - where as a business attorney in Lafayette, he spent his days in the legal trenches helping employers create jobs. Utilizing his background in economic development, Jeff helped small and large businesses navigate the complexities of our legal environment. He has argued cases in front of judges in South Louisiana.

In 2010, Jeff successfully ran for Congress. As one of Louisiana’s Congressmen - Jeff became known as a ferocious advocate of the Constitution, a leader on national energy policy emphasizing increased domestic oil and gas production, an activist for conservative family values, and a promoter of true reductions in wasteful government spending.

Jeff is a veteran of Desert Storm and left the military with the rank of Sergeant. He received the Army Achievement Medal, the Army Commendation Medal, a National Defense Ribbon, an Overseas Training Ribbon and the Louisiana War Cross from his eleven years of service as a member of the Louisiana National Guard.

Jeff loves Louisiana’s natural resources. As an avid hunter and fisherman, he cherishes the rich heritage that Louisiana provides for those that enjoy the outdoors.
Jeff is a member of the National Rifle Association, Ducks Unlimited, American Bar Association, Federal Bar Association, National Environmental Professionals, World Billfish Foundation, Knights of Columbus, and the American Legion.

Jeff earned a Bachelor of Science degree in environmental and sustainable resources with a minor in biology from the University of Southwestern Louisiana - knowledge he uses to support Louisiana’s energy industry.

Jeff is the son of Al and Edna Landry and the son-in-law of Tommy and Mary Carol LeBlanc, owners of a successful national tool business based in New Iberia.

Jeff and his wife, Sharon, are raising their son, J.T., in South Louisiana.",
